month_start,customer_name,bulk_orders_amount,model_no
"2023-01-01","AMSTEEL",950000,"S390"
"2023-01-01","AMSTEEL",760000,"G25"
"2023-01-01","EEI",285000,"S390"
"2023-01-01","EEI",475000,"G25"
"2023-01-01","EEI BAUAN",475000,"G25"
"2023-01-01","IPI",106875,"G25"
"2023-01-01","RAMCAR",95000,"G40"
"2023-01-01","STANDARD",237500,"S550"
"2023-02-01","APEM",95000,"G25"
"2023-02-01","EMTECH",475000,"G25"
"2023-02-01","EMTECH",451250,"S460"
"2023-03-01","EEI CORP",380000,"S390"
"2023-03-01","EEI CORP",950000,"G25"
"2023-03-01","PREMIUM STEEL",95000,"S550"
"2023-03-01","TAIHEI",190000,"G25"
"2023-04-01","CASTEM",19000,"S390"
"2023-04-01","EEI BAUAN",95000,"G25"
"2023-04-01","EEI CORP",380000,"S390"
"2023-04-01","IPI",380000,"G25"
"2023-04-01","RAMCAR",190000,"G40"
"2023-04-01","SUMINAC",76000,"S330"
"2023-05-01","CASTEM",19000,"S390"
"2023-05-01","HI SPEED",59375,"S550"
"2023-05-01","JOCELYN",33250,"S230"
"2023-05-01","SUMINAC",19000,"S330"
"2023-06-01","EEI",408500,"G25"
"2023-06-01","EEI",380000,"S390"
"2023-06-01","EEI BAUAN",760000,"G25"
"2023-06-01","HEXAT MINING",950000,"S460"
"2023-06-01","HICOR",35625,"S550"
"2023-06-01","RAMCAR",128250,"G40"
"2023-06-01","SUPERBLAST",380000,"S390"
"2023-07-01","EEI",285000,"G25"
"2023-07-01","EEI BAUAN",950000,"G25"
"2023-07-01","MONTENEGRO",570000,"G25"
"2023-08-01","EEI",665000,"G25"
"2023-08-01","EEI BAUAN",760000,"G25"
"2023-08-01","SUPERBLAST",95000,"G25"
"2023-09-01","EEI BAUAN",950000,"S390"
"2023-09-01","HIGHSPEED",475000,"S460"
"2023-09-01","STANDARD",118750,"S550"
"2023-09-01","STANDARD MOTOR",475000,"S550"
"2023-09-01","SUMINAC",28500,"S330"
