month_start,total_revenue,total_orders,total_units,avg_order_value,new_customers
2025-01-01,3257989.77,0,0,0,0
2025-02-01,1934639.96,0,0,0,0
2025-03-01,5201495.84,0,0,0,0
2025-04-01,2427934.46,0,0,0,0
2025-05-01,2373603.86,0,0,0,0
2025-06-01,3192974.65,0,0,0,0
2025-07-01,3671673.87,0,0,0,0
2025-08-01,4228572.61,0,0,0,0
2025-09-01,5983954.88,0,0,0,0
