month_start,total_revenue,total_orders,total_units,avg_order_value,new_customers
2024-01-01,2984160.62,0,0,0,0
2024-02-01,2281595.36,0,0,0,0
2024-03-01,7124925.49,0,0,0,0
2024-04-01,4177642.14,0,0,0,0
2024-05-01,5583202.80,0,0,0,0
2024-06-01,2653600.81,0,0,0,0
2024-07-01,3085453.62,0,0,0,0
2024-08-01,5220254.33,0,0,0,0
2024-09-01,7030249.94,0,0,0,0
2024-10-01,2386600.25,0,0,0,0
2024-11-01,2805321.13,0,0,0,0
2024-12-01,2476075.83,0,0,0,0
